date,time,Flow,Speed,Density,datetime_iso
12/1/2021,6:00,546.55,71.56,7.85,2021-12-01T06:00:00+01:00
12/1/2021,6:05,561.82,71.77,8.49,2021-12-01T06:05:00+01:00
12/1/2021,6:10,660.44,70.94,9.03,2021-12-01T06:10:00+01:00
12/1/2021,6:15,750.76,71.6,10.36,2021-12-01T06:15:00+01:00
12/1/2021,6:20,769.96,70.29,10.24,2021-12-01T06:20:00+01:00
12/1/2021,6:25,872.51,69.67,11.04,2021-12-01T06:25:00+01:00
12/1/2021,6:30,945.82,69.52,12.93,2021-12-01T06:30:00+01:00
12/1/2021,6:35,985.09,69.73,12.26,2021-12-01T06:35:00+01:00
12/1/2021,6:40,1141.53,69.15,14.42,2021-12-01T06:40:00+01:00
12/1/2021,6:45,1159.42,68.94,14.62,2021-12-01T06:45:00+01:00
12/1/2021,6:50,1123.42,69.5,15.33,2021-12-01T06:50:00+01:00
12/1/2021,6:55,1046.4,69.87,13.13,2021-12-01T06:55:00+01:00
12/1/2021,7:00,996.65,70.56,12.7,2021-12-01T07:00:00+01:00
12/1/2021,7:05,1082.62,70.06,15.29,2021-12-01T07:05:00+01:00
12/1/2021,7:10,1185.16,69.06,15.68,2021-12-01T07:10:00+01:00
12/1/2021,7:15,1331.56,68.29,17.24,2021-12-01T07:15:00+01:00
12/1/2021,7:20,1395.71,67.46,17.9,2021-12-01T07:20:00+01:00
12/1/2021,7:25,1450.47,67.37,20,2021-12-01T07:25:00+01:00
12/1/2021,7:30,1494.55,67.13,21.4,2021-12-01T07:30:00+01:00
12/1/2021,7:35,1514.62,67.08,19.77,2021-12-01T07:35:00+01:00
12/1/2021,7:40,1615.42,66.85,20.58,2021-12-01T07:40:00+01:00
12/1/2021,7:45,1616.29,66.42,20.3,2021-12-01T07:45:00+01:00
12/1/2021,7:50,1437.82,67.17,17.43,2021-12-01T07:50:00+01:00
12/1/2021,7:55,1306.91,69.21,16.48,2021-12-01T07:55:00+01:00
12/1/2021,8:00,1240.15,69.65,15.39,2021-12-01T08:00:00+01:00
12/1/2021,8:05,1212.65,70.4,15.14,2021-12-01T08:05:00+01:00
12/1/2021,8:10,1290.55,70.17,16.65,2021-12-01T08:10:00+01:00
12/1/2021,8:15,1309.31,69.33,17.06,2021-12-01T08:15:00+01:00
12/1/2021,8:20,1279.85,69.19,17.06,2021-12-01T08:20:00+01:00
12/1/2021,8:25,1310.18,68.85,17.02,2021-12-01T08:25:00+01:00
12/1/2021,8:30,1361.67,68.85,17.42,2021-12-01T08:30:00+01:00
12/1/2021,8:35,1337.24,69.75,17.26,2021-12-01T08:35:00+01:00
12/1/2021,8:40,1364.07,67.83,17.61,2021-12-01T08:40:00+01:00
12/1/2021,8:45,1369.53,67.02,17.88,2021-12-01T08:45:00+01:00
12/1/2021,8:50,1323.27,67.88,18.09,2021-12-01T08:50:00+01:00
12/1/2021,8:55,1197.38,68.77,18.08,2021-12-01T08:55:00+01:00
12/1/2021,9:00,1027.85,69.42,12.69,2021-12-01T09:00:00+01:00
12/1/2021,9:05,1034.84,69.23,13.63,2021-12-01T09:05:00+01:00
12/1/2021,9:10,1042.91,69.67,13.95,2021-12-01T09:10:00+01:00
12/1/2021,9:15,1054.47,69.52,14.02,2021-12-01T09:15:00+01:00
12/1/2021,9:20,1057.31,69.06,13.19,2021-12-01T09:20:00+01:00
12/1/2021,9:25,1049.02,68.83,14.62,2021-12-01T09:25:00+01:00
12/1/2021,9:30,1035.27,69.38,15.05,2021-12-01T09:30:00+01:00
12/1/2021,9:35,1102.25,69.04,16.68,2021-12-01T09:35:00+01:00
12/1/2021,9:40,1086.33,69.29,16.34,2021-12-01T09:40:00+01:00
12/1/2021,9:45,1058.62,69.33,13.3,2021-12-01T09:45:00+01:00
12/1/2021,9:50,1025.45,69.73,13.11,2021-12-01T09:50:00+01:00
12/1/2021,9:55,942.11,70.25,11.34,2021-12-01T09:55:00+01:00
12/1/2021,10:00,948.87,69.71,13.37,2021-12-01T10:00:00+01:00
12/1/2021,10:05,950.4,69.63,11.94,2021-12-01T10:05:00+01:00
12/1/2021,10:10,1007.35,69.52,12.4,2021-12-01T10:10:00+01:00
12/1/2021,10:15,999.27,69.46,13.37,2021-12-01T10:15:00+01:00
12/1/2021,10:20,1004.73,69.77,12.26,2021-12-01T10:20:00+01:00
12/1/2021,10:25,1020.65,69.42,13.92,2021-12-01T10:25:00+01:00
12/1/2021,10:30,1099.85,68.92,16.42,2021-12-01T10:30:00+01:00
12/1/2021,10:35,1108.8,68.75,15.17,2021-12-01T10:35:00+01:00
12/1/2021,10:40,1116.22,68.65,14.51,2021-12-01T10:40:00+01:00
12/1/2021,10:45,1115.13,68.98,15.56,2021-12-01T10:45:00+01:00
12/1/2021,10:50,1070.62,69.23,13.8,2021-12-01T10:50:00+01:00
12/1/2021,10:55,1049.24,69.06,14.34,2021-12-01T10:55:00+01:00
12/1/2021,11:00,1035.71,69.15,13.88,2021-12-01T11:00:00+01:00
12/1/2021,11:05,1041.38,69.17,15.02,2021-12-01T11:05:00+01:00
12/1/2021,11:10,1097.45,69,15.09,2021-12-01T11:10:00+01:00
12/1/2021,11:15,1121.24,69.04,14.66,2021-12-01T11:15:00+01:00
12/1/2021,11:20,1095.49,69.52,14.31,2021-12-01T11:20:00+01:00
12/1/2021,11:25,1145.89,69.04,15.59,2021-12-01T11:25:00+01:00
12/1/2021,11:30,1149.6,68.52,15.72,2021-12-01T11:30:00+01:00
12/1/2021,11:35,1139.35,68.23,15.46,2021-12-01T11:35:00+01:00
12/1/2021,11:40,1107.27,69.06,14.82,2021-12-01T11:40:00+01:00
12/1/2021,11:45,1149.38,68.21,14.49,2021-12-01T11:45:00+01:00
