date,time,Flow,Speed,Density,Occupancy
12/1/2021,6:00,546.55,71.56,7.85,7.852
12/1/2021,6:05,561.82,71.77,8.49,8.488
12/1/2021,6:10,660.44,70.94,9.03,9.028
12/1/2021,6:15,750.76,71.6,10.36,10.356
12/1/2021,6:20,769.96,70.29,10.24,10.244
12/1/2021,6:25,872.51,69.67,11.04,11.044
12/1/2021,6:30,945.82,69.52,12.93,12.932
12/1/2021,6:35,985.09,69.73,12.26,12.264
12/1/2021,6:40,1141.53,69.15,14.42,14.416
12/1/2021,6:45,1159.42,68.94,14.62,14.624
12/1/2021,6:50,1123.42,69.5,15.33,15.332
12/1/2021,6:55,1046.4,69.87,13.13,13.128
12/1/2021,7:00,996.65,70.56,12.7,12.704
12/1/2021,7:05,1082.62,70.06,15.29,15.292
12/1/2021,7:10,1185.16,69.06,15.68,15.676
12/1/2021,7:15,1331.56,68.29,17.24,17.244
12/1/2021,7:20,1395.71,67.46,17.9,17.904
12/1/2021,7:25,1450.47,67.37,20.0,20.0
12/1/2021,7:30,1494.55,67.13,21.4,21.4
12/1/2021,7:35,1514.62,67.08,19.77,19.772
12/1/2021,7:40,1615.42,66.85,20.58,20.584
12/1/2021,7:45,1616.29,66.42,20.3,20.296
12/1/2021,7:50,1437.82,67.17,17.43,17.428
12/1/2021,7:55,1306.91,69.21,16.48,16.484
12/1/2021,8:00,1240.15,69.65,15.39,15.388
12/1/2021,8:05,1212.65,70.4,15.14,15.136
12/1/2021,8:10,1290.55,70.17,16.65,16.652
12/1/2021,8:15,1309.31,69.33,17.06,17.056
12/1/2021,8:20,1279.85,69.19,17.06,17.056
12/1/2021,8:25,1310.18,68.85,17.02,17.02
12/1/2021,8:30,1361.67,68.85,17.42,17.42
12/1/2021,8:35,1337.24,69.75,17.26,17.264
12/1/2021,8:40,1364.07,67.83,17.61,17.612
12/1/2021,8:45,1369.53,67.02,17.88,17.884
12/1/2021,8:50,1323.27,67.88,18.09,18.092
12/1/2021,8:55,1197.38,68.77,18.08,18.076
12/1/2021,9:00,1027.85,69.42,12.69,12.688
12/1/2021,9:05,1034.84,69.23,13.63,13.632
12/1/2021,9:10,1042.91,69.67,13.95,13.952
12/1/2021,9:15,1054.47,69.52,14.02,14.02
12/1/2021,9:20,1057.31,69.06,13.19,13.192
12/1/2021,9:25,1049.02,68.83,14.62,14.62
12/1/2021,9:30,1035.27,69.38,15.05,15.048
12/1/2021,9:35,1102.25,69.04,16.68,16.676
12/1/2021,9:40,1086.33,69.29,16.34,16.336
12/1/2021,9:45,1058.62,69.33,13.3,13.3
12/1/2021,9:50,1025.45,69.73,13.11,13.112
12/1/2021,9:55,942.11,70.25,11.34,11.344
12/1/2021,10:00,948.87,69.71,13.37,13.372
12/1/2021,10:05,950.4,69.63,11.94,11.94
12/1/2021,10:10,1007.35,69.52,12.4,12.404
12/1/2021,10:15,999.27,69.46,13.37,13.372
12/1/2021,10:20,1004.73,69.77,12.26,12.264
12/1/2021,10:25,1020.65,69.42,13.92,13.916
12/1/2021,10:30,1099.85,68.92,16.42,16.424
12/1/2021,10:35,1108.8,68.75,15.17,15.172
12/1/2021,10:40,1116.22,68.65,14.51,14.508
12/1/2021,10:45,1115.13,68.98,15.56,15.56
12/1/2021,10:50,1070.62,69.23,13.8,13.804
12/1/2021,10:55,1049.24,69.06,14.34,14.336
12/1/2021,11:00,1035.71,69.15,13.88,13.88
12/1/2021,11:05,1041.38,69.17,15.02,15.016
12/1/2021,11:10,1097.45,69.0,15.09,15.092
12/1/2021,11:15,1121.24,69.04,14.66,14.66
12/1/2021,11:20,1095.49,69.52,14.31,14.308
12/1/2021,11:25,1145.89,69.04,15.59,15.592
12/1/2021,11:30,1149.6,68.52,15.72,15.72
12/1/2021,11:35,1139.35,68.23,15.46,15.456
12/1/2021,11:40,1107.27,69.06,14.82,14.816
12/1/2021,11:45,1149.38,68.21,14.49,14.488
12/1/2021,11:50,1167.71,67.73,17.57,17.572
12/1/2021,11:55,1128.22,67.48,15.66,15.66
12/1/2021,12:00,1155.27,67.25,16.02,16.02
12/1/2021,12:05,1166.84,67.56,16.29,16.288
12/1/2021,12:10,1133.67,68.67,16.87,16.868
12/1/2021,12:15,1142.84,68.98,15.62,15.624
12/1/2021,12:20,1159.42,68.31,17.2,17.196
12/1/2021,12:25,1161.82,67.88,14.94,14.94
12/1/2021,12:30,1138.91,68.0,16.59,16.588
12/1/2021,12:35,1212.44,68.56,16.16,16.16
12/1/2021,12:40,1234.04,67.81,16.86,16.856
12/1/2021,12:45,1272.22,67.35,16.94,16.936
12/1/2021,12:50,1194.55,67.87,15.12,15.124
12/1/2021,12:55,1150.69,68.23,16.58,16.584
12/1/2021,13:00,1167.71,68.33,15.42,15.424
12/1/2021,13:05,1173.38,68.31,17.98,17.984
12/1/2021,13:10,1145.89,68.0,16.41,16.408
12/1/2021,13:15,1178.4,67.67,15.09,15.092
12/1/2021,13:20,1148.73,67.81,16.0,16.004
12/1/2021,13:25,1129.53,66.69,14.65,14.652
12/1/2021,13:30,1264.15,66.62,18.21,18.208
12/1/2021,13:35,1289.02,66.65,17.6,17.6
12/1/2021,13:40,1267.64,66.42,16.74,16.736
12/1/2021,13:45,1269.6,65.62,16.76,16.756
12/1/2021,13:50,1262.4,66.65,17.04,17.036
12/1/2021,13:55,1207.2,67.56,16.08,16.076
12/1/2021,14:00,1186.25,68.06,16.52,16.524
